,Unnamed: 0,id,City,Address,lat,lon,Zipcode,average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title,url
13,15,29,Austin,"2414, Kinney Road, Zilker, Austin, Travis County, Texas, 78704, USA",30.24429616,-97.77446858,78704,$110 ,1,Austin,9/1/2015,"Comfortable Traditional Interior Furniture in Amazing Location minutes Drive to SoCo, Downtown, ACL, &amp; SXSW. Walk to SoLa Eateries Coffee or Bars! Large queen bed &amp; sofa double bed comfortably accommodates up to 4. Free WiFi, Cable TV &amp; 1 Reserved Parking.",30.24429616,-97.77446858,Fabulous Central Austin Condo!,https://www.airbnb.com/rooms/13571814?location=Austin%2C%20TX
14,16,31,Plano,"7951, Whispering Tree Lane, Plano, Collin County, Texas, 75024, USA",33.08495329,-96.78346949,75024,$194 ,3,Plano,8/1/2016,"This beautiful home located in a nice and convenient community in North Plano with best schools around. You can stay here with a peaceful mind, because we have prepared everything brand new for you. You will find everything a hotel provide here, and much more! High speed wifi (ultimate fast speed up to 200 Mbps), 55 inch Smart TV(Netflix and local channels), double garage, outdoor grill, study area, etc. It is good for couples, business travellers, families (with kids), and big groups. BOOK NOW!",33.08495329,-96.78346949,Fully Renovated Vacation Home in North Plano,https://www.airbnb.com/rooms/15028039?location=Celina%2C%20TX
15,17,32,Houston,"984, Villa de Matel Road, Houston, Harris County, Texas, 77023, USA",29.729390999999996,-95.31251441,77023,$75 ,1,Houston,1/1/2017,This is a great space for couch surfing with lots of available space in the living room for up to 6 people. It is only 15 minute drive to the super bowl. A 15 min drive to downtown bars. A 10 min walk to the green line metro rail that goes downtown.,29.729390999999996,-95.31251441,Living Room for Super Bowl,https://www.airbnb.com/rooms/17009039?location=Channelview%2C%20TX
16,18,33,Arlington,"2244, Mediterranean Avenue, Arlington, Tarrant County, Texas, 76011, USA",32.77038954,-97.09001198,76011,$81 ,Studio,Arlington,9/1/2016,"Our place is five to seven minutes directly north of AT&amp;T Stadium, and just as close to The Ballpark in Arlington, Six Flags, Hurricane Harbor, restaurants and dining, family-friendly activities, and nightlife. You’ll love our place because of the treed neighborhood near parks and trails, the comfy bed, and the outdoors space. Our place is good for couples, solo adventurers, and business travelers.",32.77038954,-97.09001198,Comfy Garage Apt + Pool Close to FUN!,https://www.airbnb.com/rooms/15190760?location=Bedford%2C%20TX
17,19,34,Austin,"2100, Rockmoor Avenue, The Doke, Austin, Travis County, Texas, 78703, USA",30.30038194,-97.77885789,78703,$119 ,1,Austin,8/1/2010,"Just minutes from Austin's main attractions, entire 400 sq ft attached apartment in desirable Tarrytown (1940s) neighborhood with living room, bedroom and bath. We are licensed by the City of Austin to operate a Short Term Rental. NOTE: 15% HOTEL OCCUPANCY TAX INCLUDED IN PRICE!",30.30038194,-97.77885789,Sunny Central Austin Apartment,https://www.airbnb.com/rooms/46929?location=Colorado%20River%2C%20TX
18,21,36,Houston,"21733, Rio Villa Drive, Highlands, Harris County, Texas, 77049, USA",29.82627834,-95.07823934,77049,$88 ,1,Houston,8/1/2016,Come relax on the water in our beautiful beach house style river home. You'll love our shiplap walls but the view is even better!,29.82627834,-95.07823934,Monroe Manor,https://www.airbnb.com/rooms/19273801?location=Channelview%2C%20TX
19,22,37,Spicewood,"3721, Outback Trail, Travis County, Texas, 78669, USA",30.387709499999996,-98.09081262,78669,$85 ,1,Spicewood,12/1/2016,"My place is close to \nSXSW venues\nPoodies Roadhouse\nPace Bend Park\nPedernales River\nMarble Falls\nTexas Hill Country\nApis Restaurant. \n\nYou’ll love my place because of the relaxing location, the pool, Canyon to hike in, Pedernales River to play in or launch your boat, the private park on the river, the people, the ambiance, the outdoors space, and the neighborhood. My place is good for couples, solo adventurers, and business travelers.\n\nDog and cats on property.",30.387709499999996,-98.09081262,Amethyst Room at Canyon Ranch,https://www.airbnb.com/rooms/17132740?location=Briarcliff%2C%20TX
20,23,38,Austin,"1603, Poquito Street, East Austin, Austin, Travis County, Texas, 78702, USA",30.27752338,-97.71919076,78702,$105 ,1,Austin,1/1/2012,Modern remodeled Spartan on a large shaded lot.,30.27752338,-97.71919076,Chic 1953 Spartanette Guesthouse,https://www.airbnb.com/rooms/321636?location=Colorado%20River%2C%20TX
21,24,39,Fort Worth,"Wedgewood Nursing Home, 6621, Dan Danciger Road, Fort Worth, Tarrant County, Texas, 76133, USA",32.64994648,-97.40598620000002,76133,$499 ,7,Fort Worth,4/1/2017,"Sleeps 20 guests. Clean, cozy, laid back and quiet place. Plenty of space with property caretaker available at all times. Excellent for a big family group. Your safety and comfort is our main goal. Ample parking space for guests. This home is Wheel Chair accessible with 2 handicapped showers.",32.64994648,-97.40598620000002,Casa de Alexis Guesthome,https://www.airbnb.com/rooms/18366731?location=Cleburne%2C%20TX
22,25,40,Dallas,"Penuel Seventh Day Adventist Church, Bernal Drive, Dallas, Dallas County, Texas, 75212, USA",32.78663646,-96.87466869,75212,$25 ,1,Dallas,4/1/2016,"LOW COST MOTEL STYLE PRIVATE ROOMS WITH DOOR LOCK &amp; KEY !\nNO NEED TO SCHEDULE YOUR ARRIVAL AS WE MAY NOT BE HOME TO GREET YOU !\nCOME IN AND OUT ANYTIME AFTER 1PM ON YOUR DAY OF ARRIVAL !!! \n\n24/7 KEYLESS ENTRY DOOR CODE, WIFI INFO, AND EVERYTHING YOU NEED TO KNOW ABOUT YOUR STAY WILL BE DETAILED IN AN EMAIL FROM AIRBNB ONCE RESERVATION CONFIRMED !\n\nPlenty of free parking, 2 full Bathrooms\n100% Hassle free and independent stay !\n\nLOCATION: BICKERS ST. &amp; N WESTMORELAND RD. DALLAS 75212",32.78663646,-96.87466869,"2. Available now, Private w-Key, TV-FREE Movies",https://www.airbnb.com/rooms/13568922?location=Carrollton%2C%20TX
