,id,City,Address,lat,lon,Zipcode
53,79,College Station,"2977, Normand Drive, Southwood Valley, College Station, Brazos County, Texas, 77845, USA",30.58726186,-96.29515158,77845
54,81,College Station,"2385, Colgate Circle, Castle Rock Apartments, College Station, Brazos County, Texas, 77840, USA",30.6133901,-96.30687282,77840
55,82,Plano,"6899, Abernathy Street, Plano, Collin County, Texas, 75074, USA",33.067471,-96.6636928,75074
56,83,Fort Worth,"5525, Eastwedge Drive, Fort Worth, Tarrant County, Texas, 76137, USA",32.88156439,-97.2658547,76137
57,85,Austin,"6711, Modesto Street, Abercrombie, Austin, Travis County, Texas, 78757, USA",30.34285933,-97.73598704,78757
58,86,Houston,"1428, Trailwood Village Drive, Houston, Harris County, Texas, 77339, USA",30.03683572,-95.22608777,77339
59,87,San Antonio,"Camino Haven, The Enclave At Stonehaven, Bexar County, Texas, 78255, USA",29.70627939,-98.63299228,78255
60,88,Irving,"3809, Flintridge Drive, Irving, Dallas County, Texas, 75038, USA",32.86410161,-96.99892108,75038
61,89,Katy,"23367, Leaf Ridge Drive, Cinco Ranch, Fort Bend County, Texas, 77494, USA",29.75443391,-95.77315946,77494
62,90,New Braunfels,"North Guenther Avenue, New Braunfels, Comal County, Texas, 78130, USA",29.70090884,-98.131561,78130
63,91,Buchanan Dam,"98, Trinidad Street, Buchanan Dam, Llano County, Texas, 78609, USA",30.75022481,-98.41572007,78609
64,92,Humble,"9498, Greencape Court, Dyersdale, Harris County, Texas, 77396, USA",29.92953838,-95.25096238,77396
65,93,Baytown,"1908, North Main Street, Baytown, Harris County, Texas, 77520, USA",29.74584661,-94.96355953,77520
66,95,Irving,"1955, Cloverleaf Lane, Irving, Dallas County, Texas, 75061, USA",32.83240526,-96.98926843,75061
67,96,Bryan,"3669, Forestwood Drive, Saddlewood Apartments, Bryan, Brazos County, Texas, 77801, USA",30.6301763,-96.36748443,77801
68,97,Houston,"Lowe's, Plum Creek Terrace Lane, Houston, Harris County, Texas, 77087, USA",29.69799127,-95.29893196,77087
69,98,Eustace,"5798, County Road 1423, Henderson County, Texas, 75124, USA",32.22713635,-95.99408655,75124
70,99,Conroe,"426, Oak Stream Drive, Conroe, Montgomery County, Texas, 77304, USA",30.28228127,-95.48712678,77304
71,100,Colleyville,"5699, Texas Trail, Colleyville, Tarrant County, Texas, 76034, USA",32.89039189,-97.18186807,76034
72,101,Mabank,"Sunray Street, Henderson County, Texas, 75156, USA",32.25334064,-96.0807898,75156
73,102,Cibolo,"Schertz, Guadalupe County, Texas, 78108, USA",29.62122809,-98.22315851,78108
74,103,New Braunfels,"176, Lakeview Boulevard, Landa Park Highlands, New Braunfels, Comal County, Texas, 78130, USA",29.716016,-98.13737076,78130
75,107,Allen,"1518, Pine Bluff Drive, Allen, Collin County, Texas, 75002, USA",33.09131167,-96.6306321,75002
76,108,Pipe Creek,"175, Mountain View Lane, Bandera County, Texas, 78063, USA",29.72770471,-98.86898766,78063
77,109,Houston,"8620, Findlay Street, Houston, Harris County, Texas, 77017, USA",29.69300158,-95.26477971,77017
78,110,College Station,"1503, Pine Ridge Drive, College Station, Brazos County, Texas, 77840, USA",30.60723597,-96.31728311,77840
79,111,Houston,"2301, Congress Street, Houston, Harris County, Texas, 77003, USA",29.75561922,-95.34945333,77003
80,112,Austin,"Velasquez Sports Complex, Lady Bird Lake Hike and Bike Trail, Lakeshore, Austin, Travis County, Texas, 78741, USA",30.24962237,-97.72215443,78741
81,113,Katy,"2309, Horned Owl Drive, Hawks Landing, Fort Bend County, Texas, 77494, USA",29.74270525,-95.82376819,77494
82,115,Dallas,"2008, Greenville Avenue, Lower Greenville, Dallas, Dallas County, Texas, 75206, USA",32.81433689,-96.76974606,75206
83,116,Haltom City,"Fossil Ridge Drive, Haltom City, Tarrant County, Texas, 76136, USA",32.85314505,-97.27746618,76136
84,117,Navasota,"360, Gibbs Street, Navasota, Grimes County, Texas, 77868, USA",30.38250015,-96.08396984,77868
85,118,College Station,"Triumph Court, College Station, Brazos County, Texas, 77845, USA",30.56283264,-96.29118908,77845
