,id,City,Address,lat,lon
67,96,Bryan,"3669, Forestwood Drive, Saddlewood Apartments, Bryan, Brazos County, Texas, 77801, USA",30.6301763,-96.36748443
68,97,Houston,"Lowe's, Plum Creek Terrace Lane, Houston, Harris County, Texas, 77087, USA",29.69799127,-95.29893196
69,98,Eustace,"5798, County Road 1423, Henderson County, Texas, 75124, USA",32.22713635,-95.99408655
70,99,Conroe,"426, Oak Stream Drive, Conroe, Montgomery County, Texas, 77304, USA",30.28228127,-95.48712678
71,100,Colleyville,"5699, Texas Trail, Colleyville, Tarrant County, Texas, 76034, USA",32.89039189,-97.18186807
72,101,Mabank,"Sunray Street, Henderson County, Texas, 75156, USA",32.25334064,-96.0807898
73,102,Cibolo,"Schertz, Guadalupe County, Texas, 78108, USA",29.62122809,-98.22315851
74,103,New Braunfels,"176, Lakeview Boulevard, Landa Park Highlands, New Braunfels, Comal County, Texas, 78130, USA",29.716016,-98.13737076
75,107,Allen,"1518, Pine Bluff Drive, Allen, Collin County, Texas, 75002, USA",33.09131167,-96.6306321
76,108,Pipe Creek,"175, Mountain View Lane, Bandera County, Texas, 78063, USA",29.72770471,-98.86898766
77,109,Houston,"8620, Findlay Street, Houston, Harris County, Texas, 77017, USA",29.69300158,-95.26477971
78,110,College Station,"1503, Pine Ridge Drive, College Station, Brazos County, Texas, 77840, USA",30.60723597,-96.31728311
79,111,Houston,"2301, Congress Street, Houston, Harris County, Texas, 77003, USA",29.75561922,-95.34945333
80,112,Austin,"Velasquez Sports Complex, Lady Bird Lake Hike and Bike Trail, Lakeshore, Austin, Travis County, Texas, 78741, USA",30.24962237,-97.72215443
81,113,Katy,"2309, Horned Owl Drive, Hawks Landing, Fort Bend County, Texas, 77494, USA",29.74270525,-95.82376819
82,115,Dallas,"2008, Greenville Avenue, Lower Greenville, Dallas, Dallas County, Texas, 75206, USA",32.81433689,-96.76974606
83,116,Haltom City,"Fossil Ridge Drive, Haltom City, Tarrant County, Texas, 76136, USA",32.85314505,-97.27746618
84,117,Navasota,"360, Gibbs Street, Navasota, Grimes County, Texas, 77868, USA",30.38250015,-96.08396984
85,118,College Station,"Triumph Court, College Station, Brazos County, Texas, 77845, USA",30.56283264,-96.29118908
86,119,College Station,"738, Park Place, Callaway Villas, College Station, Brazos County, Texas, 77840, USA",30.60461863,-96.33028067
87,120,South Padre Island,"2028, Gulf Boulevard, South Padre Island, Cameron County, Texas, 78597, USA",26.0988938,-97.16416098
88,121,Dallas,"1344, Stewart Drive, Bishop Arts District, Dallas, Dallas County, Texas, 75208, USA",32.75532904,-96.84328076
89,122,Houston,"8076, Grafton Street, Houston, Harris County, Texas, 77017, USA",29.69217133,-95.27834702
90,123,Corpus Christi,"Third Coast Beach Company, Headsail Avenue, Mustang-Padre Island, Corpus Christi, Nueces County, Texas, USA",27.61934852,-97.22201559
91,124,Granbury,"1402, South Chisholm Trail, Mambrino, Hood County, Texas, 76048, USA",32.39882076,-97.75762567
92,125,Houston,"5539, Hillman Street, Plaza Santa Clara, Houston, Harris County, Texas, 77023, USA",29.72643595,-95.31921338
93,126,San Antonio,"1036, Thrush Ridge, San Antonio, Bexar County, Texas, 78248, USA",29.59687123,-98.52481313
94,127,Arlington,"6203, Castle Creek Road, Kennedale, Tarrant County, Texas, 76017, USA",32.66199838,-97.2060795
95,128,Dallas,"3916, Congress Avenue, Oak Lawn, Dallas, Dallas County, Texas, 75219, USA",32.80786908,-96.81199591
96,129,Port Aransas,"763, Access Rd 1-A, Mustang Beach, Port Aransas, Aransas County, Texas, 78373, USA",27.80544277,-97.08199531
97,130,Round Rock,"1609, Corn Hill Lane, Turtle Creek Village, Round Rock, Williamson County, Texas, 78664, USA",30.50945534,-97.65806608
98,131,Sweeny,"TX 35;FM 524, Old Ocean, Brazoria County, Texas, 77463, USA",29.08708319,-95.72306648
99,132,Euless,"239, Buckingham Avenue, Euless, Tarrant County, Texas, 76040, USA",32.8353312,-97.1085319
100,133,Plano,"Ridgeview Ranch Golf Club, Plano, Collin County, Texas, 75025, USA",33.11878882,-96.73917725
101,134,College Station,"Smetana, Brazos County, Texas, 77807, USA",30.62100356,-96.44929926
102,135,Humble,"Hampton Hills Drive, Laurel Place, Moonshine Hill, Harris County, Texas, 77338:77346, USA",29.98656912,-95.22818386
103,136,Conroe,"14895, Greenbough, Bennette Estates, Grangerland, Montgomery County, Texas, 77302, USA",30.20567661,-95.35012473
104,137,Frisco,"11550, Clipper Circle, Stewart Peninsula, Denton County, Texas, 75034, USA",33.11616758,-96.92762318
105,138,Sealy,"Beckendorff Road, Rexville, Austin County, Texas, 77474, USA",29.70852238,-96.22426265
106,139,San Antonio,"1489, Blackbridge, The Woods, Bexar County, Texas, 78253, USA",29.44439593,-98.71742703
107,140,Fort Worth,"3928, Clarke Avenue, Fort Worth, Tarrant County, Texas, 76107, USA",32.74822997,-97.37647856
108,141,San Antonio,"4601, Emory Oak Woods, Woods of Shavano, San Antonio, Bexar County, Texas, 78249, USA",29.58112385,-98.57656207
109,142,College Station,"Harvey Road, Summit Crossing, College Station, Brazos County, Texas, 77840, USA",30.64207031,-96.28920321
110,143,Houston,"5814, Effingham Drive, Houston, Harris County, Texas, 77035, USA",29.6465198,-95.48921278
111,146,Brenham,"1885, FM 50, Independence, Washington County, Texas, 77833, USA",30.2006913,-96.36471719
112,147,San Antonio,"4317, Parkwood Drive, San Antonio, Bexar County, Texas, 78218, USA",29.48217334,-98.40900329
113,148,Schertz,"Gettysburg Drive, The Village Subdivision Unit 4, Schertz, Guadalupe County, Texas, 78154, USA",29.55967872,-98.25797103
