,id,City,Address,lat,lon
55,87,San Antonio,"Camino Haven, The Enclave At Stonehaven, Bexar County, Texas, 78255, USA",29.70627939,-98.63299228
56,88,Irving,"3809, Flintridge Drive, Irving, Dallas County, Texas, 75038, USA",32.86410161,-96.99892108
57,89,Katy,"23367, Leaf Ridge Drive, Cinco Ranch, Fort Bend County, Texas, 77494, USA",29.75443391,-95.77315946
58,90,New Braunfels,"North Guenther Avenue, New Braunfels, Comal County, Texas, 78130, USA",29.70090884,-98.131561
59,91,Buchanan Dam,"98, Trinidad Street, Buchanan Dam, Llano County, Texas, 78609, USA",30.75022481,-98.41572007
60,92,Humble,"9498, Greencape Court, Dyersdale, Harris County, Texas, 77396, USA",29.92953838,-95.25096238
61,93,Baytown,"1908, North Main Street, Baytown, Harris County, Texas, 77520, USA",29.74584661,-94.96355953
62,94,Gary City,"217, County Road 191, Buncome, Panola County, Texas, 75643, USA",32.03804545,-94.45985039
63,95,Irving,"1955, Cloverleaf Lane, Irving, Dallas County, Texas, 75061, USA",32.83240526,-96.98926843
64,96,Bryan,"3669, Forestwood Drive, Saddlewood Apartments, Bryan, Brazos County, Texas, 77801, USA",30.630176300000002,-96.36748443
65,97,Houston,"Lowe's, Plum Creek Terrace Lane, Houston, Harris County, Texas, 77087, USA",29.69799127,-95.29893196
66,98,Eustace,"5798, County Road 1423, Henderson County, Texas, 75124, USA",32.22713635,-95.99408655
67,99,Conroe,"426, Oak Stream Drive, Conroe, Montgomery County, Texas, 77304, USA",30.28228127,-95.48712678
68,100,Colleyville,"5699, Texas Trail, Colleyville, Tarrant County, Texas, 76034, USA",32.89039189,-97.18186807
69,101,Mabank,"Sunray Street, Henderson County, Texas, 75156, USA",32.25334064,-96.08078979999999
70,102,Cibolo,"Schertz, Guadalupe County, Texas, 78108, USA",29.62122809,-98.22315851
71,103,New Braunfels,"176, Lakeview Boulevard, Landa Park Highlands, New Braunfels, Comal County, Texas, 78130, USA",29.716015999999996,-98.13737076
72,107,Allen,"1518, Pine Bluff Drive, Allen, Collin County, Texas, 75002, USA",33.09131167,-96.6306321
73,108,Pipe Creek,"175, Mountain View Lane, Bandera County, Texas, 78063, USA",29.72770471,-98.86898766
74,109,Houston,"8620, Findlay Street, Houston, Harris County, Texas, 77017, USA",29.69300158,-95.26477971
75,110,College Station,"1503, Pine Ridge Drive, College Station, Brazos County, Texas, 77840, USA",30.60723597,-96.31728311
76,111,Houston,"2301, Congress Street, Houston, Harris County, Texas, 77003, USA",29.75561922,-95.34945333
77,112,Austin,"Velasquez Sports Complex, Lady Bird Lake Hike and Bike Trail, Lakeshore, Austin, Travis County, Texas, 78741, USA",30.24962237,-97.72215443
78,117,Navasota,"360, Gibbs Street, Navasota, Grimes County, Texas, 77868, USA",30.38250015,-96.08396984
79,120,South Padre Island,"2028, Gulf Boulevard, South Padre Island, Cameron County, Texas, 78597, USA",26.0988938,-97.16416098
80,122,Houston,"8076, Grafton Street, Houston, Harris County, Texas, 77017, USA",29.69217133,-95.27834702
81,123,Corpus Christi,"Third Coast Beach Company, Headsail Avenue, Mustang-Padre Island, Corpus Christi, Nueces County, Texas, USA",27.61934852,-97.22201559
82,124,Granbury,"1402, South Chisholm Trail, Mambrino, Hood County, Texas, 76048, USA",32.39882076,-97.75762567
83,125,Houston,"5539, Hillman Street, Plaza Santa Clara, Houston, Harris County, Texas, 77023, USA",29.72643595,-95.31921338
84,127,Arlington,"6203, Castle Creek Road, Kennedale, Tarrant County, Texas, 76017, USA",32.66199838,-97.2060795
85,129,Port Aransas,"763, Access Rd 1-A, Mustang Beach, Port Aransas, Aransas County, Texas, 78373, USA",27.80544277,-97.08199531
86,130,Round Rock,"1609, Corn Hill Lane, Turtle Creek Village, Round Rock, Williamson County, Texas, 78664, USA",30.50945534,-97.65806608
87,135,Humble,"Hampton Hills Drive, Laurel Place, Moonshine Hill, Harris County, Texas, 77338:77346, USA",29.98656912,-95.22818386
88,136,Conroe,"14895, Greenbough, Bennette Estates, Grangerland, Montgomery County, Texas, 77302, USA",30.20567661,-95.35012473
89,137,Frisco,"11550, Clipper Circle, Stewart Peninsula, Denton County, Texas, 75034, USA",33.11616758,-96.92762318
90,138,Sealy,"Beckendorff Road, Rexville, Austin County, Texas, 77474, USA",29.70852238,-96.22426265
91,139,San Antonio,"1489, Blackbridge, The Woods, Bexar County, Texas, 78253, USA",29.44439593,-98.71742703
92,141,San Antonio,"4601, Emory Oak Woods, Woods of Shavano, San Antonio, Bexar County, Texas, 78249, USA",29.58112385,-98.57656207
93,142,College Station,"Harvey Road, Summit Crossing, College Station, Brazos County, Texas, 77840, USA",30.64207031,-96.28920321
94,143,Houston,"5814, Effingham Drive, Houston, Harris County, Texas, 77035, USA",29.646519800000004,-95.48921278
95,144,Cibolo,"421, Saddlehorn Way, Cibolo, Guadalupe County, Texas, 78108, USA",29.58497397,-98.21778634
96,145,Shenandoah,"Research Forest Drive, Town Center, Shenandoah, Montgomery County, Texas, 77384-5317, USA",30.17832473,-95.45222338
97,146,Brenham,"1885, FM 50, Independence, Washington County, Texas, 77833, USA",30.2006913,-96.36471719
98,147,San Antonio,"4317, Parkwood Drive, San Antonio, Bexar County, Texas, 78218, USA",29.48217334,-98.40900329
99,148,Schertz,"Gettysburg Drive, The Village Subdivision Unit 4, Schertz, Guadalupe County, Texas, 78154, USA",29.55967872,-98.25797103
100,149,Carrollton,"Lakecrest Court, Carrollton, Dallas County, Texas, 75006, USA",32.96345053,-96.85590903
101,150,New Ulm,"Track Road, New Ulm, Austin County, Texas, 78950, USA",29.89822345,-96.50467836
102,151,Hempstead,"Pierceall Road, Pine Island, Waller County, Texas, 77445, USA",30.04281773,-96.04410223
103,155,Granbury,"Williamson Road, Mambrino, Hood County, Texas, 76048, USA",32.38876928,-97.72726180000001
104,158,New Braunfels,"692, Comal Avenue, New Braunfels, Comal County, Texas, 78130, USA",29.69792115,-98.11524852
105,159,New Braunfels,"Comal River, South Gilbert Avenue, New Braunfels, Comal County, Texas, 78130, USA",29.7068023,-98.12265949
106,160,Kemah,"722, 6th Street, Kemah, Galveston County, Texas, 77565, USA",29.54380153,-95.0170362
107,161,Irving,"456, Lacebark Drive, Valley Ranch, Irving, Dallas County, Texas, 75063, USA",32.91786622,-96.95068721
108,163,Austin,"216, East 4th Street, Downtown, Austin, Travis County, Texas, 78701, USA",30.26594744,-97.74144275
109,164,Concan,"Third Crossing, Uvalde County, Texas, 78838, USA",29.54128208,-99.69037872
110,165,Richmond,"399, Waterside Estates Circle, Waterside Estates, Pecan Grove, Fort Bend County, Texas, 77406, USA",29.64864295,-95.7353304
111,166,Austin,"6017, Salcon Cliff Drive, Legend Oaks, Austin, Travis County, Texas, 78749, USA",30.20515821,-97.87828950000001
112,167,College Station,"Carriker Court, Royder, Brazos County, Texas, 77881, USA",30.51712322,-96.30567554
113,174,San Antonio,"6448, Ruffled Grouse, San Antonio, Bexar County, Texas, 78233, USA",29.56955298,-98.36259271
114,177,Corpus Christi,"Comfort Inn And Suites, Windward Drive, Mustang-Padre Island, Corpus Christi, Nueces County, Texas, USA",27.604834499999996,-97.21074843
115,179,Houston,"3025, Taft Street, Houston, Harris County, Texas, 77006, USA",29.74485117,-95.38589969
116,183,Dallas,"5223, East Side Avenue, Fair Park, Dallas, Dallas County, Texas, 75214, USA",32.79764909,-96.75905703
117,184,Richmond,"17459, Hanoverian Drive, Shiloh Lake Estates, Fort Bend County, Texas, 77407, USA",29.659385999999998,-95.69020939
118,185,Austin,"4501, Gillis Street, South Manchaca, Austin, Travis County, Texas, 78745, USA",30.22363485,-97.78329845
119,186,Austin,"1301, Cedar Avenue, Chestnut, Austin, Travis County, Texas, 78722, USA",30.275918400000002,-97.71321066
120,187,Dallas,"2629, Millmar Drive, Dallas, Dallas County, Texas, 75228, USA",32.82679167,-96.67012107
121,190,Dallas,"5426, McCommas Boulevard, Knox, Dallas, Dallas County, Texas, 75206, USA",32.82957241,-96.77609658
122,191,Lago Vista,"3404, American Drive, Lago Vista, Travis County, Texas, 78645, USA",30.44054759,-98.02017659
123,192,Rockport,"588, Newcomb Bend Loop, Holiday Beach, Aransas County, Texas, 78382, USA",28.16218221,-97.01599643
124,193,Tow,"1221, Manor Street, Buchanan Lake Village, Llano County, Texas, 78672, USA",30.85041949,-98.44988581
125,194,Rockport,"North Fulton Beach Road, Fulton, Aransas County, Texas, 78358, USA",28.100134000000004,-97.03050334
126,195,Bridgeport,"Rickels, Wise County, Texas, 76426, USA",33.16989692,-97.85160453
127,196,Kingsville,"906, West Lee Avenue, Kingsville, Kleberg County, Texas, 78363, USA",27.52007545,-97.87982068
128,200,Dallas,"Uptown PID, Dallas, Dallas County, Texas, 75204, USA",32.80743307,-96.79499383
129,202,Converse,"4015, Mistflower Drive, Bexar County, Texas, 78109, USA",29.46611326,-98.32325103
130,203,Lakeway,"718, Bermuda Street, Lakeway, Travis County, Texas, 78734, USA",30.371241100000002,-97.98738926
131,204,Corpus Christi,"354, Naples Street, Coopers Alley L-Head, Downtown, Corpus Christi, Nueces County, Texas, 78404, USA",27.77152417,-97.39531271
132,205,Dallas,"6006, Mercedes Avenue, Lower Greenville, Dallas, Dallas County, Texas, 75214, USA",32.82768128,-96.76334642
133,207,Brenham,"Edgar Matchett House, West Main Street, Brenham, Washington County, Texas, 77833, USA",30.1662184,-96.40225125
134,208,Galveston,"DoubleTree by Hilton Hotel Galveston Beach, Avenue O ½, Galveston, Galveston County, Texas, 77550, USA",29.29448803,-94.78369067
135,212,Euless,"Fountainview Drive, Euless, Tarrant County, Texas, 76039, USA",32.86431109,-97.08096908
136,213,Houston,"4190, Westpark Drive, Houston, Harris County, Texas, 77027, USA",29.72758048,-95.44585328
137,214,Bastrop,"A. A. Erhard House, Pecan Street, Bastrop, Bastrop County, Texas, 78602, USA",30.11212414,-97.31763093
138,215,San Antonio,"1572, Moonlit Grove, Wetmore, San Antonio, Bexar County, Texas, 78247, USA",29.57813711,-98.43065619
139,217,Houston,"2734, Mason Street, Houston, Harris County, Texas, 77006, USA",29.74603384,-95.38480976
140,219,Austin,"3216, Pearce Road, Austin, Travis County, Texas, 78730, USA",30.33816909,-97.82413058
141,221,Saginaw,"893, Willow Court, Saginaw, Tarrant County, Texas, 76179, USA",32.85276234,-97.37723606
142,228,McKinney,"6988, Wind Row Drive, McKinney, Collin County, Texas, 75070, USA",33.15732832,-96.70865246
143,229,Bandera,"205, 10th Street, Bandera, Bandera County, Texas, 78003, USA",29.722388,-99.07181852
144,231,Canyon,"White Fence Road, Randall County, Texas, 79016, USA",35.02061454,-101.9001074
145,232,Temple,"4763, Arrowhead Drive, Temple, Bell County, Texas, 76502, USA",31.08315027,-97.40213929999999
146,233,Austin,"2102, Keepsake Drive, Grand Oaks, Austin, Travis County, Texas, 78748, USA",30.18835401,-97.81606795
147,234,Little Elm,"3775, Misty Cove, Little Elm, Denton County, Texas, 75068, USA",33.15256985,-96.96912275
148,235,Richmond,"Victoria Springs Drive, Sonoma Ridge, Fort Bend County, Texas, 77407, USA",29.68569362,-95.72351852
149,236,League City,"3102, Sand Reef Lane, Bay Ridge, League City, Galveston County, Texas, 77573, USA",29.50904258,-95.03171378
150,237,Galveston,"Galveston City Hall, Rosenberg Avenue - 25th Street, Galveston, Galveston County, Texas, 77553, USA",29.30142486,-94.79507861
151,238,Rockport,"792, Copano Cove Road, Aransas County, Texas, 78382, USA",28.07069945,-97.10866929
152,239,Houston,"345, Drennan Street, Houston, Harris County, Texas, 77003, USA",29.74678384,-95.33610475
153,240,Corpus Christi,"Corpus Christi North Beach, Corpus Christi Beach Walk, Peoples Street T-Head, Downtown, Corpus Christi, Nueces County, Texas, 78402, USA",27.82631852,-97.38456603
154,241,League City,"901, Ponte Serena Drive, The Lakes at South Shore Harbor, League City, Galveston County, Texas, 77573, USA",29.51437679,-95.05881077
155,244,Dallas,"2122, North Peak Street, Lower Greenville, Dallas, Dallas County, Texas, 75204, USA",32.80439082,-96.78496543
156,245,Sugar Land,"6762, Charlton Street, Telfair, Sugar Land, Fort Bend County, Texas, 77479, USA",29.58141125,-95.65816858
157,246,Rockport,"54, Nassau Drive, Key Allegro, Rockport, Aransas County, Texas, 78382, USA",28.04548923,-97.02933703
158,249,Galveston,"Maravilla Resort Condominiums, 9520, Seawall Boulevard, Galveston, Galveston County, Texas, 77551, USA",29.24702215,-94.85914419
159,250,Galveston,"3623, Avenue S ½, Galveston, Galveston County, Texas, 77550, USA",29.28171507,-94.80228138
160,251,Seabrook,"4464, Spoonbill Drive, Seabrook, Harris County, Texas, 77586, USA",29.58307462,-95.01420299
161,252,Rogers,"12431, Reeds Lake Loop, Academy, Bell County, Texas, 76569, USA",30.966597200000002,-97.31752936
162,255,Fort Worth,"1812, Tremont Avenue, Fort Worth, Tarrant County, Texas, 76107, USA",32.74194821,-97.38246834
163,256,Harker Heights,"1627, Inca Drive, Harker Heights, Bell County, Texas, 76548, USA",31.06351199,-97.63620315
164,257,Austin,"4908, Alf Avenue, Johnston Terrace, Austin, Travis County, Texas, 78721, USA",30.26704789,-97.68989589
165,258,Terlingua,"Terlingua Ranch Road, Brewster County, Texas, 79852, USA",29.49263134,-103.3699133
166,259,Austin,"713, Brownlee Circle, Clarksville, Austin, Travis County, Texas, 78703, USA",30.27456699,-97.7580592
167,260,Houston,"8499, Hearth Drive, Houston, Harris County, Texas, 77054, USA",29.68086261,-95.41870216
168,261,Arlington,"Spring Hill Suites, East Lamar Boulevard, Arlington, Tarrant County, Texas, 76011, USA",32.76386606,-97.07894896
169,262,Hickory Creek,"1140, Point Vista Road, Hickory Creek, Denton County, Texas, 75065, USA",33.11962689,-97.03793115
170,263,Grapevine,"The Church of Jesus Christ of Latter-day Saints, 1143, Butterfield Drive, Grapevine, Tarrant County, Texas, 76051, USA",32.94863427,-97.06999168
171,264,Buda,"149, Feathergrass Drive, Green Meadows, Buda, Hays County, Texas, 78610, USA",30.05988156,-97.81432509999999
172,265,Dallas,"4333, McKinney Avenue, Knox, Knox Street PID, Dallas, Dallas County, Texas, 75205, USA",32.81926424,-96.78957175
173,266,College Station,"1596, Welsh Avenue, Callaway Villas, College Station, Brazos County, Texas, 77840, USA",30.59607091,-96.32442712
174,267,Houston,"El Camino Real, Houston, Harris County, Texas, 77062, USA",29.58231323,-95.14569045
175,269,Austin,"206, Clearday Drive, Buckingham Ridge, Austin, Travis County, Texas, 78745, USA",30.19237135,-97.7816127
